"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2317","TC03 Valid contact form UI","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","5249","TC05 Open Email Friend page","chromium","2026-05-30","passed","2026-05-30","Compare + Email Module","compareEmail/compareEmail.spec.js","",""
"","1891","TC01 Home page loads successfully","chromium","2026-05-30","passed","2026-05-30","E2E + Network Mocking - CAPSTONE NETWORK SUITE (15 TC)","e2eNetwork/e2eNetwork.spec.js","",""
"","3046","TC02 Open cart page","chromium","2026-05-30","passed","2026-05-30","Shopping Cart Module","shoppingCart/cart.spec.js","",""
"","1937","TC02 Cart empty message","chromium","2026-05-30","passed","2026-05-30","Checkout Process","checkout/checkout.spec.js","",""
"","1518","TC03 Mock product list response","chromium","2026-05-30","passed","2026-05-30","E2E + Network Mocking - CAPSTONE NETWORK SUITE (15 TC)","e2eNetwork/e2eNetwork.spec.js","",""
"","1884","TC01 Contact us page","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","3322","TC08 Verify Restricted Page Access After Logout","chromium","2026-05-30","passed","2026-05-30","Authentication - Logout Tests","authentication/logout.spec.js","",""
"","3978","TC15 Verify Product Details Page Opens","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Product Details Tests","productCatalog/productDetails.spec.js","",""
"","4270","TC01 Profile page load","chromium","2026-05-30","passed","2026-05-30","User Profile Module - 15 Test Cases","userProfile/userProfile.spec.js","",""
"","11941","TC01 Add product to compare","chromium","2026-05-30","passed","2026-05-30","Compare + Email Module","compareEmail/compareEmail.spec.js","",""
"","3816","TC10 Verify Sort By Price Low to High","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Sorting Tests","productCatalog/sorting.spec.js","",""
"","2636","TC07 Verify Jewelry Category Navigation","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Category and Filter Tests","productCatalog/filter.spec.js","",""
"","2565","TC08 Billing step visible","chromium","2026-05-30","passed","2026-05-30","Checkout Process","checkout/checkout.spec.js","",""
"","4711","TC04 Compare page URL validation","chromium","2026-05-30","passed","2026-05-30","Compare + Email Module","compareEmail/compareEmail.spec.js","",""
"","2903","TC03 Add product to cart FIXED","chromium","2026-05-30","passed","2026-05-30","Checkout Process","checkout/checkout.spec.js","",""
"","2092","TC11 API request monitoring","chromium","2026-05-30","passed","2026-05-30","E2E + Network Mocking - CAPSTONE NETWORK SUITE (15 TC)","e2eNetwork/e2eNetwork.spec.js","",""
"","2382","TC08 Page structure visible","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","2920","TC13 Cart URL validation","chromium","2026-05-30","passed","2026-05-30","Shopping Cart Module","shoppingCart/cart.spec.js","",""
"","2156","TC05 Search box visible","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","3195","TC12 Empty cart validation","chromium","2026-05-30","passed","2026-05-30","Shopping Cart Module","shoppingCart/cart.spec.js","",""
"","2614","TC05 Verify Copy Paste Login","chromium","2026-05-30","passed","2026-05-30","Authentication - Login Tests","authentication/login.spec.js","",""
"","2323","TC15 Checkout URL FIXED","chromium","2026-05-30","passed","2026-05-30","Checkout Process","checkout/checkout.spec.js","",""
"","2449","TC03 Verify Login with Invalid Email","chromium","2026-05-30","passed","2026-05-30","Authentication - Login Tests","authentication/login.spec.js","",""
